config,target,split,bin,observations,mean_probability,event_rate
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,holdout,6,7,0.2518602202813661,0.42857142857142855
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,holdout,7,7,0.2752800080942733,0.14285714285714285
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,holdout,8,7,0.3038000453027256,0.14285714285714285
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,holdout,9,7,0.3463711592486839,0.14285714285714285
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,holdout,10,8,0.49209924352938855,0.375
target_b_eth_leadership__xgboost,target_b_eth_leadership,development_cpcv,1,29,0.08428727776325982,0.1724137931034483
target_b_eth_leadership__xgboost,target_b_eth_leadership,development_cpcv,2,29,0.12491913990213954,0.20689655172413793
target_b_eth_leadership__xgboost,target_b_eth_leadership,development_cpcv,3,28,0.15991274629320418,0.21428571428571427
target_b_eth_leadership__xgboost,target_b_eth_leadership,development_cpcv,4,29,0.19686631498665638,0.27586206896551724
target_b_eth_leadership__xgboost,target_b_eth_leadership,development_cpcv,5,29,0.23641593129984265,0.3103448275862069
target_b_eth_leadership__xgboost,target_b_eth_leadership,development_cpcv,6,28,0.28660150340625223,0.4642857142857143
target_b_eth_leadership__xgboost,target_b_eth_leadership,development_cpcv,7,29,0.3495169490318873,0.4482758620689655
target_b_eth_leadership__xgboost,target_b_eth_leadership,development_cpcv,8,28,0.40606997231287606,0.32142857142857145
target_b_eth_leadership__xgboost,target_b_eth_leadership,development_cpcv,9,29,0.48731832386090823,0.4482758620689655
target_b_eth_leadership__xgboost,target_b_eth_leadership,development_cpcv,10,29,0.6410789939350096,0.3103448275862069
target_b_eth_leadership__xgboost,target_b_eth_leadership,holdout,1,8,0.14293205738067627,0.125
target_b_eth_leadership__xgboost,target_b_eth_leadership,holdout,2,7,0.17202796041965485,0.42857142857142855
target_b_eth_leadership__xgboost,target_b_eth_leadership,holdout,3,7,0.19699303805828094,0.0
target_b_eth_leadership__xgboost,target_b_eth_leadership,holdout,4,7,0.2102663218975067,0.14285714285714285
target_b_eth_leadership__xgboost,target_b_eth_leadership,holdout,5,8,0.22889819741249084,0.5
