family,candidate,fold,test_groups,fold_sharpe
relative,relative_winner_e40_b60_14d,11,"2,5",-1.1435101210964844
relative,relative_winner_e40_b60_14d,12,"3,4",0.6690101768974119
relative,relative_winner_e40_b60_14d,13,"3,5",0.4986134624857163
relative,relative_winner_e40_b60_14d,14,"4,5",0.47885276070665983
relative,relative_winner_e50_b40_14d,0,"0,1",2.4569782486334018
relative,relative_winner_e50_b40_14d,1,"0,2",0.41247139189387066
relative,relative_winner_e50_b40_14d,2,"0,3",1.690951560355238
relative,relative_winner_e50_b40_14d,3,"0,4",1.9401481344519924
relative,relative_winner_e50_b40_14d,4,"0,5",1.7501055640697623
relative,relative_winner_e50_b40_14d,5,"1,2",0.33452612450299535
relative,relative_winner_e50_b40_14d,6,"1,3",1.5699467478252995
relative,relative_winner_e50_b40_14d,7,"1,4",1.7239071337178762
relative,relative_winner_e50_b40_14d,8,"1,5",1.5550942920229796
relative,relative_winner_e50_b40_14d,9,"2,3",-0.37260829215282526
relative,relative_winner_e50_b40_14d,10,"2,4",-1.046028597569596
relative,relative_winner_e50_b40_14d,11,"2,5",-1.1562958149415903
relative,relative_winner_e50_b40_14d,12,"3,4",0.7492801755540608
relative,relative_winner_e50_b40_14d,13,"3,5",0.6077933998915593
relative,relative_winner_e50_b40_14d,14,"4,5",0.48981821057539304
relative,relative_winner_e50_b50_14d,0,"0,1",2.4471893670690115
relative,relative_winner_e50_b50_14d,1,"0,2",0.442299454810116
relative,relative_winner_e50_b50_14d,2,"0,3",1.6063067551622057
relative,relative_winner_e50_b50_14d,3,"0,4",1.9479984431110753
relative,relative_winner_e50_b50_14d,4,"0,5",1.733470741599111
relative,relative_winner_e50_b50_14d,5,"1,2",0.3718048433497807
relative,relative_winner_e50_b50_14d,6,"1,3",1.4890717727942773
relative,relative_winner_e50_b50_14d,7,"1,4",1.7201449454187845
relative,relative_winner_e50_b50_14d,8,"1,5",1.5326303947581514
relative,relative_winner_e50_b50_14d,9,"2,3",-0.40825384955056476
relative,relative_winner_e50_b50_14d,10,"2,4",-0.9866670128914112
relative,relative_winner_e50_b50_14d,11,"2,5",-1.118529979140243
relative,relative_winner_e50_b50_14d,12,"3,4",0.65468484484217
relative,relative_winner_e50_b50_14d,13,"3,5",0.4972751728306536
relative,relative_winner_e50_b50_14d,14,"4,5",0.4672549250541707
relative,relative_winner_e50_b60_14d,0,"0,1",2.4699517411531917
relative,relative_winner_e50_b60_14d,1,"0,2",0.4155253654940424
relative,relative_winner_e50_b60_14d,2,"0,3",1.6393140749146908
relative,relative_winner_e50_b60_14d,3,"0,4",1.9506459043013364
relative,relative_winner_e50_b60_14d,4,"0,5",1.7110552291135206
relative,relative_winner_e50_b60_14d,5,"1,2",0.3849347011708617
relative,relative_winner_e50_b60_14d,6,"1,3",1.5616166045578177
relative,relative_winner_e50_b60_14d,7,"1,4",1.7797055695730086
relative,relative_winner_e50_b60_14d,8,"1,5",1.5665630074447725
relative,relative_winner_e50_b60_14d,9,"2,3",-0.36504607220005086
relative,relative_winner_e50_b60_14d,10,"2,4",-0.9838208419082536
relative,relative_winner_e50_b60_14d,11,"2,5",-1.1434895015455397
relative,relative_winner_e50_b60_14d,12,"3,4",0.7342515346099647
relative,relative_winner_e50_b60_14d,13,"3,5",0.5539395480647997
relative,relative_winner_e50_b60_14d,14,"4,5",0.4960068925089569
relative,relative_winner_e60_b40_14d,0,"0,1",2.4367939054537056
relative,relative_winner_e60_b40_14d,1,"0,2",0.3839278953809507
relative,relative_winner_e60_b40_14d,2,"0,3",1.5894291227389719
relative,relative_winner_e60_b40_14d,3,"0,4",1.9138738503942647
relative,relative_winner_e60_b40_14d,4,"0,5",1.7239976320075916
relative,relative_winner_e60_b40_14d,5,"1,2",0.3313902610148536
relative,relative_winner_e60_b40_14d,6,"1,3",1.4899018006662945
relative,relative_winner_e60_b40_14d,7,"1,4",1.7223064708691604
relative,relative_winner_e60_b40_14d,8,"1,5",1.5550942920229796
relative,relative_winner_e60_b40_14d,9,"2,3",-0.49368647661009407
relative,relative_winner_e60_b40_14d,10,"2,4",-1.0524367770476377
relative,relative_winner_e60_b40_14d,11,"2,5",-1.1520624445258254
relative,relative_winner_e60_b40_14d,12,"3,4",0.6206061142888853
relative,relative_winner_e60_b40_14d,13,"3,5",0.4808377279274228
relative,relative_winner_e60_b40_14d,14,"4,5",0.48390197301230015
relative,relative_winner_e60_b50_14d,0,"0,1",2.4270853016071543
relative,relative_winner_e60_b50_14d,1,"0,2",0.4175209232389201
relative,relative_winner_e60_b50_14d,2,"0,3",1.555762207315682
relative,relative_winner_e60_b50_14d,3,"0,4",1.9224159793960132
relative,relative_winner_e60_b50_14d,4,"0,5",1.7073128567779707
relative,relative_winner_e60_b50_14d,5,"1,2",0.37212606103971435
relative,relative_winner_e60_b50_14d,6,"1,3",1.4592569687043007
relative,relative_winner_e60_b50_14d,7,"1,4",1.7195150919019107
relative,relative_winner_e60_b50_14d,8,"1,5",1.5326303947581514
relative,relative_winner_e60_b50_14d,9,"2,3",-0.4597757557089263
relative,relative_winner_e60_b50_14d,10,"2,4",-0.9835640206261868
relative,relative_winner_e60_b50_14d,11,"2,5",-1.1099880917389924
relative,relative_winner_e60_b50_14d,12,"3,4",0.6022216724468031
relative,relative_winner_e60_b50_14d,13,"3,5",0.4442684616699285
relative,relative_winner_e60_b50_14d,14,"4,5",0.46444270265086113
relative,relative_winner_e60_b60_14d,0,"0,1",2.449549571797945
relative,relative_winner_e60_b60_14d,1,"0,2",0.38887456555009925
relative,relative_winner_e60_b60_14d,2,"0,3",1.588404852802598
relative,relative_winner_e60_b60_14d,3,"0,4",1.9246552390692182
relative,relative_winner_e60_b60_14d,4,"0,5",1.6843741521683093
relative,relative_winner_e60_b60_14d,5,"1,2",0.383619810749916
relative,relative_winner_e60_b60_14d,6,"1,3",1.5319474425033313
relative,relative_winner_e60_b60_14d,7,"1,4",1.7791559529800285
relative,relative_winner_e60_b60_14d,8,"1,5",1.5665630074447725
relative,relative_winner_e60_b60_14d,9,"2,3",-0.4190017042819483
relative,relative_winner_e60_b60_14d,10,"2,4",-0.9870164302623362
relative,relative_winner_e60_b60_14d,11,"2,5",-1.1413677605876855
relative,relative_winner_e60_b60_14d,12,"3,4",0.6833399107209001
relative,relative_winner_e60_b60_14d,13,"3,5",0.5018425527860713
relative,relative_winner_e60_b60_14d,14,"4,5",0.4935884018544553
transition,regime_transition_t40_7d,0,"0,1",1.6932464777707228
transition,regime_transition_t40_7d,1,"0,2",-0.1197995287389596
transition,regime_transition_t40_7d,2,"0,3",1.2123475353804767
transition,regime_transition_t40_7d,3,"0,4",0.968863241835136
transition,regime_transition_t40_7d,4,"0,5",1.0236677313900748
transition,regime_transition_t40_7d,5,"1,2",0.24233297915828508
transition,regime_transition_t40_7d,6,"1,3",1.617050481558081
transition,regime_transition_t40_7d,7,"1,4",1.5052683809839493
transition,regime_transition_t40_7d,8,"1,5",1.543917244108488
transition,regime_transition_t40_7d,9,"2,3",-0.3199829169861362
transition,regime_transition_t40_7d,10,"2,4",-1.1861500441283646
transition,regime_transition_t40_7d,11,"2,5",-1.0335903342104042
transition,regime_transition_t40_7d,12,"3,4",0.8330544996981788
transition,regime_transition_t40_7d,13,"3,5",0.8952578757094973
transition,regime_transition_t40_7d,14,"4,5",0.581417295996807
transition,regime_transition_t50_7d,0,"0,1",1.6932464777707228
transition,regime_transition_t50_7d,1,"0,2",-0.1197995287389596
transition,regime_transition_t50_7d,2,"0,3",1.2123475353804767
transition,regime_transition_t50_7d,3,"0,4",0.994428307693324
transition,regime_transition_t50_7d,4,"0,5",0.9420621851214719
transition,regime_transition_t50_7d,5,"1,2",0.24233297915828508
transition,regime_transition_t50_7d,6,"1,3",1.617050481558081
transition,regime_transition_t50_7d,7,"1,4",1.5333696483219221
transition,regime_transition_t50_7d,8,"1,5",1.4585352828714733
transition,regime_transition_t50_7d,9,"2,3",-0.3199829169861362
transition,regime_transition_t50_7d,10,"2,4",-1.1593831389815512
transition,regime_transition_t50_7d,11,"2,5",-1.1354605497658927
transition,regime_transition_t50_7d,12,"3,4",0.8619179378422719
transition,regime_transition_t50_7d,13,"3,5",0.8038146489251032
transition,regime_transition_t50_7d,14,"4,5",0.4147062188016535
transition,regime_transition_t60_7d,0,"0,1",1.6932464777707228
transition,regime_transition_t60_7d,1,"0,2",-0.12360265451492912
transition,regime_transition_t60_7d,2,"0,3",1.2123475353804767
transition,regime_transition_t60_7d,3,"0,4",1.0102176638326972
transition,regime_transition_t60_7d,4,"0,5",0.9380139359464245
transition,regime_transition_t60_7d,5,"1,2",0.23844066413381756
transition,regime_transition_t60_7d,6,"1,3",1.617050481558081
transition,regime_transition_t60_7d,7,"1,4",1.550447668067502
transition,regime_transition_t60_7d,8,"1,5",1.4542238499819322
transition,regime_transition_t60_7d,9,"2,3",-0.32407006936599747
transition,regime_transition_t60_7d,10,"2,4",-1.1474745641209614
transition,regime_transition_t60_7d,11,"2,5",-1.1458483342471588
transition,regime_transition_t60_7d,12,"3,4",0.879757709912453
transition,regime_transition_t60_7d,13,"3,5",0.7992797279857359
transition,regime_transition_t60_7d,14,"4,5",0.4498421707858982
transition,regime_transition_t40_14d,0,"0,1",2.4721169329745627
transition,regime_transition_t40_14d,1,"0,2",0.29677728813247795
transition,regime_transition_t40_14d,2,"0,3",1.5781276275862859
transition,regime_transition_t40_14d,3,"0,4",1.9040639711168734
transition,regime_transition_t40_14d,4,"0,5",1.8211622787690642
transition,regime_transition_t40_14d,5,"1,2",0.33072684099856264
transition,regime_transition_t40_14d,6,"1,3",1.535735917348882
transition,regime_transition_t40_14d,7,"1,4",1.7492922767060444
transition,regime_transition_t40_14d,8,"1,5",1.686750501381523
transition,regime_transition_t40_14d,9,"2,3",-0.46796748809793554
transition,regime_transition_t40_14d,10,"2,4",-1.0969374359000204
transition,regime_transition_t40_14d,11,"2,5",-1.0798176297082869
transition,regime_transition_t40_14d,12,"3,4",0.6439688329047878
transition,regime_transition_t40_14d,13,"3,5",0.612254525805423
transition,regime_transition_t40_14d,14,"4,5",0.6843095876357497
