config,model,feature,importance,method
btc_leads_eth_30d_gt_5__random_forest,random_forest,volatility_expansion_probability,0.07743874724921054,model_importance
btc_leads_eth_30d_gt_5__random_forest,random_forest,vix_level,0.06658520800584475,model_importance
btc_leads_eth_30d_gt_5__random_forest,random_forest,dow_vol_level,0.06091609702506541,model_importance
btc_leads_eth_30d_gt_5__gradient_boosting,gradient_boosting,vix_change_21d,0.1901301485804056,model_importance
btc_leads_eth_30d_gt_5__gradient_boosting,gradient_boosting,tvl_growth_30d,0.16286989927799658,model_importance
btc_leads_eth_30d_gt_5__gradient_boosting,gradient_boosting,volatility_expansion_probability,0.11552077221500014,model_importance
btc_leads_eth_30d_gt_5__gradient_boosting,gradient_boosting,stablecoin_supply_change_7d,0.11425506875054035,model_importance
btc_leads_eth_30d_gt_5__gradient_boosting,gradient_boosting,volatility_4h_7d,0.10460909355594672,model_importance
btc_leads_eth_30d_gt_5__gradient_boosting,gradient_boosting,cross_sectional_dispersion,0.09053601547537114,model_importance
btc_leads_eth_30d_gt_5__gradient_boosting,gradient_boosting,equity_realized_vol_21d,0.08766406941654366,model_importance
btc_leads_eth_30d_gt_5__gradient_boosting,gradient_boosting,dow_vol_level,0.052716936841007075,model_importance
btc_leads_eth_30d_gt_5__gradient_boosting,gradient_boosting,vix_change_5d,0.031076245435791544,model_importance
btc_leads_eth_30d_gt_5__gradient_boosting,gradient_boosting,equity_momentum_21d,0.030039424596644222,model_importance
btc_leads_eth_30d_gt_5__gradient_boosting,gradient_boosting,vix_level,0.02058232585475289,model_importance
