feature,target,target_label,target_type,full_ic,mean_ic,newey_west_t,p_value,positive_fold_fraction,auc,fold_ic_std,holdout_ic,holdout_auc,holdout_sign_consistent
top20_equal_weight_minus_btc_return_30d,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,0.06605584465547615,0.046478066697533266,2.395455665260299,0.01659972159852008,0.8,,0.05965266940460257,0.02730470196223621,,True
top20_equal_weight_minus_btc_vol_adj_30d,btc_30d_upside,BTC 30d > +15%,binary,-0.06363495542449324,-0.06711142061679888,-1.7631215700788898,0.07787998796329854,0.7333333333333333,0.5407573348749819,0.12551508841897535,0.04890155365819659,0.5558823529411765,False
top20_equal_weight_minus_btc_vol_adj_30d,eth_30d_upside,ETH 30d > +20%,binary,-0.10173942653456661,-0.12056051148281662,-3.1805400207690107,0.0014700083308665235,0.8,0.5654328184202857,0.13255840188168858,0.045431422614621644,0.5366568914956011,False
top20_equal_weight_minus_btc_vol_adj_30d,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,-0.08490271225629159,-0.09243491992411927,-2.1815045424204786,0.029146118849051383,0.7333333333333333,0.5528001090066765,0.1392214399622893,-0.08319379136213784,0.5698412698412698,True
top20_equal_weight_minus_btc_vol_adj_30d,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,0.023222088720763943,0.003020145466081576,0.2201624175016735,0.8257446649926921,0.5333333333333333,0.5143048128342246,0.0656421079000512,0.1697207144410607,0.6184210526315789,True
top20_equal_weight_minus_btc_vol_adj_30d,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,0.04865855387045174,0.03362790671976339,1.5999099289894285,0.10961856634230749,0.6666666666666666,,0.06595519292365307,0.014747624336665432,,True
market_dollar_volume_growth_30d,btc_30d_upside,BTC 30d > +15%,binary,-0.013765008088276905,-0.039218365092369374,-1.7077788840939698,0.0876773785903262,0.7333333333333333,0.5088163029339501,0.07529207971849282,-0.028311425802113807,0.5323529411764706,True
market_dollar_volume_growth_30d,eth_30d_upside,ETH 30d > +20%,binary,-0.02979673627905458,-0.06730697060394508,-1.9438693811548404,0.05191120441912922,0.7333333333333333,0.5191635091809967,0.10740038345211256,0.11630444189343139,0.593841642228739,False
market_dollar_volume_growth_30d,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,-0.03418018867608127,-0.06494634838769986,-3.2674790722173417,0.0010850988863528865,0.7333333333333333,0.5212563019484944,0.08021731508617781,-0.05861380755059712,0.5492063492063493,True
market_dollar_volume_growth_30d,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,0.07899850742390724,0.06511478232034058,2.0858050437682465,0.03699628636242358,0.8,0.5486631016042781,0.0881197636683965,0.13986244060420744,0.5975877192982456,True
market_dollar_volume_growth_30d,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,0.19459439393632605,0.159209908382654,7.089195384236419,1.3489209749195652e-12,0.9333333333333333,,0.08942039983705734,-0.2109403924472418,,False
