feature,target,target_type,full_sample_ic,development_ic,holdout_diagnostic_ic,newey_west_t_stat,p_value,auc,sign_stability,cpcv_fold_stability,macro_tier1_redundancy,crypto_tier1_redundancy
credit_spread_change,eth_upward_expansion_30d,binary,-0.006256444763532905,0.002584598240942849,0.052503091921626416,1.3775556464677219,0.16834052293596113,0.5016981132075472,True,0.5333333333333333,0.6292178527401837,0.3070399883016282
credit_spread_change,eth_outperforms_btc_30d,binary,0.02537386448215292,0.06064592587149717,0.06603998189729754,2.349748722704982,0.01878608834432208,0.5376205427225835,True,0.6666666666666666,0.6292178527401837,0.3070399883016282
credit_spread_change,frozen_macro_positive_next_period,binary,-0.08838914278406262,-0.12651663833935697,0.16598927712917283,0.11012979743779652,0.9123064369457431,0.5749897624897624,False,0.8666666666666667,0.6292178527401837,0.3070399883016282
credit_spread_change,frozen_macro_drawdown_avoidance,binary,-0.011639615563867082,-0.019011137732699572,0.1711551677465377,-0.8871292918083682,0.3750092953209947,0.5109762020398252,False,0.6666666666666666,0.6292178527401837,0.3070399883016282
real_yield_level,btc_forward_30d_return,continuous,-0.0452954789194483,0.026046792607404022,-0.03653247876194812,-0.04658041288951785,0.9628476433324621,,False,0.6,0.5366737475069232,0.5529787087978083
real_yield_level,eth_forward_30d_return,continuous,-0.12909553014332562,-0.09541801590035082,-0.19412737384673495,-1.4298922701891053,0.15274794089135083,,True,0.4666666666666667,0.5366737475069232,0.5529787087978083
real_yield_level,btc_eth_50_50_forward_30d_return,continuous,-0.10428636776318231,-0.05399417362880377,-0.1466481062359052,-0.8494624559300932,0.3956240127715439,,True,0.4666666666666667,0.5366737475069232,0.5529787087978083
real_yield_level,btc_upward_expansion_30d,binary,-0.22289483181239242,-0.16696813686591697,-0.05403497105453686,-1.5206508445332114,0.1283474802506671,0.6087816944959802,True,0.7333333333333333,0.5366737475069232,0.5529787087978083
real_yield_level,eth_upward_expansion_30d,binary,-0.18526941490433377,-0.1912580366752125,-0.08393534409629655,-2.1175211196574004,0.03421564481229856,0.6256603773584906,True,0.6,0.5366737475069232,0.5529787087978083
real_yield_level,eth_outperforms_btc_30d,binary,-0.24588788622348506,-0.29599566050078113,-0.10557642229789567,-3.693181262158632,0.00022146604614332218,0.683617403005158,True,0.9333333333333333,0.5366737475069232,0.5529787087978083
real_yield_level,frozen_macro_positive_next_period,binary,-0.1148959983398559,-0.13523736677928203,-0.13946073771353873,-2.054948920949367,0.039883938579230706,0.5801597051597052,True,0.8,0.5366737475069232,0.5529787087978083
real_yield_level,frozen_macro_drawdown_avoidance,binary,0.32952770411119336,0.38291012625468474,-0.2607953675157749,4.202461793235525,2.6402782198574326e-05,0.7210781932977174,False,0.8666666666666667,0.5366737475069232,0.5529787087978083
real_yield_change,btc_forward_30d_return,continuous,0.029163035410893455,0.06020484568108981,0.23406191079899688,0.3614742169056363,0.7177449757854208,,True,0.6666666666666666,0.4053837108331825,0.2383910249226442
real_yield_change,eth_forward_30d_return,continuous,0.006835273002367891,-3.985075518650148e-05,0.13577752798293777,-0.310687259387064,0.7560383838032021,,False,0.4666666666666667,0.4053837108331825,0.2383910249226442
real_yield_change,btc_eth_50_50_forward_30d_return,continuous,0.020189382821309977,0.03006726787498229,0.1568567545145441,-0.017097518416958134,0.986358818640337,,True,0.6666666666666666,0.4053837108331825,0.2383910249226442
real_yield_change,btc_upward_expansion_30d,binary,0.027392453568566594,0.07029225666798994,0.023730743751635204,0.4288929717583059,0.6680011151779365,0.5457946815089673,True,0.7333333333333333,0.4053837108331825,0.2383910249226442
real_yield_change,eth_upward_expansion_30d,binary,0.04428199486802103,0.04393914042589052,0.036862204301806534,0.5636030173211471,0.5730243328979172,0.528867924528302,True,0.6666666666666666,0.4053837108331825,0.2383910249226442
real_yield_change,eth_outperforms_btc_30d,binary,-0.08217819606342194,-0.12355411549100853,0.04636639892408028,-0.9194638761658186,0.35785299194707154,0.5766427450100919,False,0.7333333333333333,0.4053837108331825,0.2383910249226442
real_yield_change,frozen_macro_positive_next_period,binary,-0.013632308161751743,-0.049355532817109006,-0.029347761661970808,-0.6666019410482344,0.5050264289254567,0.5292536855036855,True,0.8,0.4053837108331825,0.2383910249226442
real_yield_change,frozen_macro_drawdown_avoidance,binary,0.05119857691759894,0.06161931824435745,0.11265687879988545,0.5977136668176192,0.5500310047057633,0.5355755220981059,True,0.6666666666666666,0.4053837108331825,0.2383910249226442
dxy_momentum,btc_forward_30d_return,continuous,0.09457249700928616,0.06928792751963483,0.008589455458967821,0.6025436252834097,0.5468123332021061,,True,0.8,0.5257983886032667,0.2285646264304801
dxy_momentum,eth_forward_30d_return,continuous,0.10280172067938423,0.09545789576277382,-0.15269242675957578,0.7871863837569149,0.43117276685088396,,False,0.8666666666666667,0.5257983886032667,0.2285646264304801
dxy_momentum,btc_eth_50_50_forward_30d_return,continuous,0.1075445558411162,0.0917750948238753,-0.1005884658150823,0.7359796290672689,0.4617430950697871,,False,0.8666666666666667,0.5257983886032667,0.2285646264304801
dxy_momentum,btc_upward_expansion_30d,binary,0.10782246164684006,0.09026863380530138,-0.03379906277084846,1.4624223635902038,0.14362550480656994,0.558812615955473,False,0.8,0.5257983886032667,0.2285646264304801
dxy_momentum,eth_upward_expansion_30d,binary,0.09803368975020152,0.09476500612603136,-0.052501850346883795,1.52877071008134,0.12632129587725685,0.5622641509433962,False,0.8666666666666667,0.5257983886032667,0.2285646264304801
dxy_momentum,eth_outperforms_btc_30d,binary,0.11028397813233033,0.13240374081264583,-0.06603842020691844,2.3296687876266327,0.019823663432445685,0.5821372505045974,False,0.9333333333333333,0.5257983886032667,0.2285646264304801
dxy_momentum,frozen_macro_positive_next_period,binary,-0.05135652500046416,-0.05259092771322346,-0.008481003380364114,-0.25992523515899774,0.7949214452685089,0.5311732186732187,True,0.6666666666666666,0.5257983886032667,0.2285646264304801
dxy_momentum,frozen_macro_drawdown_avoidance,binary,0.07637193147515194,0.05661066460436599,-0.16045417530846756,0.17332149196106927,0.8623987311993424,0.5326857697911608,False,0.5333333333333333,0.5257983886032667,0.2285646264304801
