target,model,fold,auc
target_csm_spread_1w,logistic_C0.25,2,0.45190274841437633
target_csm_spread_1w,logistic_C0.25,3,0.4411452810180276
target_csm_spread_1w,logistic_C0.25,4,0.4887820512820513
target_csm_spread_1w,logistic_C0.25,5,0.42299107142857145
target_csm_spread_1w,logistic_C0.25,6,0.42427497314715357
target_csm_spread_1w,logistic_C0.25,7,0.41557734204793034
target_csm_spread_1w,logistic_C0.25,8,0.4078801331853496
target_csm_spread_1w,logistic_C0.25,9,0.4446808510638299
target_csm_spread_1w,logistic_C0.25,10,0.4274973147153598
target_csm_spread_1w,logistic_C0.25,11,0.4466230936819172
target_csm_spread_1w,logistic_C0.25,12,0.5378787878787878
target_csm_spread_1w,logistic_C0.25,13,0.46320346320346323
target_csm_spread_1w,logistic_C0.25,14,0.4695652173913044
target_csm_spread_1w,logistic_C1,0,0.4959568733153639
target_csm_spread_1w,logistic_C1,1,0.45627980922098565
target_csm_spread_1w,logistic_C1,2,0.43446088794926
target_csm_spread_1w,logistic_C1,3,0.4628844114528102
target_csm_spread_1w,logistic_C1,4,0.47061965811965817
target_csm_spread_1w,logistic_C1,5,0.42075892857142866
target_csm_spread_1w,logistic_C1,6,0.4269602577873255
target_csm_spread_1w,logistic_C1,7,0.4101307189542484
target_csm_spread_1w,logistic_C1,8,0.40066592674805773
target_csm_spread_1w,logistic_C1,9,0.43510638297872334
target_csm_spread_1w,logistic_C1,10,0.4097744360902255
target_csm_spread_1w,logistic_C1,11,0.44880174291939
target_csm_spread_1w,logistic_C1,12,0.5481601731601732
target_csm_spread_1w,logistic_C1,13,0.4604978354978355
target_csm_spread_1w,logistic_C1,14,0.4673913043478261
target_csm_spread_1w,elastic_net_C0.25_l1_0.5,0,0.505121293800539
target_csm_spread_1w,elastic_net_C0.25_l1_0.5,1,0.45892951775304713
target_csm_spread_1w,elastic_net_C0.25_l1_0.5,2,0.47568710359408034
target_csm_spread_1w,elastic_net_C0.25_l1_0.5,3,0.4517497348886532
target_csm_spread_1w,elastic_net_C0.25_l1_0.5,4,0.5267094017094017
target_csm_spread_1w,elastic_net_C0.25_l1_0.5,5,0.4542410714285714
target_csm_spread_1w,elastic_net_C0.25_l1_0.5,6,0.4178302900107411
target_csm_spread_1w,elastic_net_C0.25_l1_0.5,7,0.4264705882352941
target_csm_spread_1w,elastic_net_C0.25_l1_0.5,8,0.4478357380688125
target_csm_spread_1w,elastic_net_C0.25_l1_0.5,9,0.4547872340425532
target_csm_spread_1w,elastic_net_C0.25_l1_0.5,10,0.4801288936627282
target_csm_spread_1w,elastic_net_C0.25_l1_0.5,11,0.45479302832244006
target_csm_spread_1w,elastic_net_C0.25_l1_0.5,12,0.5297619047619048
target_csm_spread_1w,elastic_net_C0.25_l1_0.5,13,0.47132034632034625
target_csm_spread_1w,elastic_net_C0.25_l1_0.5,14,0.5092391304347826
target_csm_spread_1w,elastic_net_C1_l1_0.5,0,0.5040431266846361
target_csm_spread_1w,elastic_net_C1_l1_0.5,1,0.4599894011658718
target_csm_spread_1w,elastic_net_C1_l1_0.5,2,0.4381606765327696
target_csm_spread_1w,elastic_net_C1_l1_0.5,3,0.4602332979851537
target_csm_spread_1w,elastic_net_C1_l1_0.5,4,0.4668803418803419
target_csm_spread_1w,elastic_net_C1_l1_0.5,5,0.4280133928571429
target_csm_spread_1w,elastic_net_C1_l1_0.5,6,0.4301825993555317
target_csm_spread_1w,elastic_net_C1_l1_0.5,7,0.4166666666666667
target_csm_spread_1w,elastic_net_C1_l1_0.5,8,0.4034406215316315
target_csm_spread_1w,elastic_net_C1_l1_0.5,9,0.44042553191489364
target_csm_spread_1w,elastic_net_C1_l1_0.5,10,0.42427497314715357
target_csm_spread_1w,elastic_net_C1_l1_0.5,11,0.44607843137254904
target_csm_spread_1w,elastic_net_C1_l1_0.5,12,0.5530303030303031
target_csm_spread_1w,elastic_net_C1_l1_0.5,13,0.4642857142857143
target_csm_spread_1w,elastic_net_C1_l1_0.5,14,0.48043478260869565
target_csm_spread_1w,gb_depth2,0,0.5654986522911052
target_csm_spread_1w,gb_depth2,1,0.5439851616322204
target_csm_spread_1w,gb_depth2,2,0.6123150105708245
target_csm_spread_1w,gb_depth2,3,0.5084835630965006
target_csm_spread_1w,gb_depth2,4,0.4409722222222222
target_csm_spread_1w,gb_depth2,5,0.48577008928571425
target_csm_spread_1w,gb_depth2,6,0.46240601503759393
target_csm_spread_1w,gb_depth2,7,0.4389978213507626
target_csm_spread_1w,gb_depth2,8,0.5424528301886793
target_csm_spread_1w,gb_depth2,9,0.5058510638297873
target_csm_spread_1w,gb_depth2,10,0.49919441460794844
target_csm_spread_1w,gb_depth2,11,0.449074074074074
target_csm_spread_1w,gb_depth2,12,0.5435606060606061
target_csm_spread_1w,gb_depth2,13,0.47402597402597396
target_csm_spread_1w,gb_depth2,14,0.5913043478260869
target_csm_spread_1w,gb_depth3,0,0.6037735849056604
target_csm_spread_1w,gb_depth3,1,0.566772655007949
target_csm_spread_1w,gb_depth3,2,0.6355708245243129
target_csm_spread_1w,gb_depth3,3,0.5837751855779427
target_csm_spread_1w,gb_depth3,4,0.45566239316239315
target_csm_spread_1w,gb_depth3,5,0.42187500000000006
target_csm_spread_1w,gb_depth3,6,0.4865735767991407
target_csm_spread_1w,gb_depth3,7,0.44498910675381265
target_csm_spread_1w,gb_depth3,8,0.4933407325194229
target_csm_spread_1w,gb_depth3,9,0.5167553191489361
target_csm_spread_1w,gb_depth3,10,0.49946294307196565
target_csm_spread_1w,gb_depth3,11,0.4959150326797386
target_csm_spread_1w,gb_depth3,12,0.5373376623376623
target_csm_spread_1w,gb_depth3,13,0.501082251082251
target_csm_spread_1w,gb_depth3,14,0.5402173913043479
target_reversal_spread_1w,logistic_C0.25,0,0.5484039769754055
target_reversal_spread_1w,logistic_C0.25,1,0.4674145299145299
target_reversal_spread_1w,logistic_C0.25,2,0.44360902255639095
target_reversal_spread_1w,logistic_C0.25,3,0.4571881606765328
target_reversal_spread_1w,logistic_C0.25,4,0.4125
target_reversal_spread_1w,logistic_C0.25,5,0.46049188906331767
target_reversal_spread_1w,logistic_C0.25,6,0.5021208907741251
target_reversal_spread_1w,logistic_C0.25,7,0.3824468085106383
target_reversal_spread_1w,logistic_C0.25,8,0.5219780219780219
target_reversal_spread_1w,logistic_C0.25,9,0.3963480128893663
