feature,horizon,bucket_type,method,mean_top_minus_bottom,positive_spread_fraction,mean_monotonicity,n_periods
upside_volatility_30d,1w,decile,cross_sectional,-0.012107037380947991,0.4132231404958678,-0.10269638534101343,363
upside_volatility_30d,2w,quintile,cross_sectional,-0.015064447646801767,0.38950276243093923,-0.1262430939226519,362
upside_volatility_30d,2w,decile,cross_sectional,-0.02247765403888169,0.3812154696132597,-0.13172610078687425,362
upside_volatility_30d,4w,quintile,cross_sectional,-0.04664472675620095,0.33611111111111114,-0.18277777777777776,360
upside_volatility_30d,4w,decile,cross_sectional,-0.05972526337458302,0.3416666666666667,-0.16148148148148145,360
volatility_of_volatility_30d,1w,quintile,cross_sectional,-0.0076950138154540226,0.418732782369146,-0.11184573002754822,363
volatility_of_volatility_30d,1w,decile,cross_sectional,-0.012603737268834988,0.418732782369146,-0.09010768845479587,363
volatility_of_volatility_30d,2w,quintile,cross_sectional,-0.012923561593439773,0.39779005524861877,-0.1325966850828729,362
volatility_of_volatility_30d,2w,decile,cross_sectional,-0.025271163958155544,0.36187845303867405,-0.12720575924995814,362
volatility_of_volatility_30d,4w,quintile,cross_sectional,39.74810042661685,0.3888888888888889,-0.15694444444444444,360
volatility_of_volatility_30d,4w,decile,cross_sectional,79.4992185428462,0.3472222222222222,-0.1385185185185185,360
jump_intensity_30d,1w,quintile,cross_sectional,0.021183476423894638,0.5458937198067633,0.16666666666666666,207
jump_intensity_30d,1w,decile,cross_sectional,,,,0
jump_intensity_30d,2w,quintile,cross_sectional,0.03486631440745902,0.5922330097087378,0.20588235294117643,206
jump_intensity_30d,2w,decile,cross_sectional,,,,0
jump_intensity_30d,4w,quintile,cross_sectional,0.04958438085530311,0.5980392156862745,0.3,204
jump_intensity_30d,4w,decile,cross_sectional,,,,0
amihud_illiquidity_30d,1w,quintile,cross_sectional,-0.0029056899164816544,0.418732782369146,-0.1234159779614325,363
amihud_illiquidity_30d,1w,decile,cross_sectional,-0.008115087247747291,0.38016528925619836,-0.11211286417897988,363
amihud_illiquidity_30d,2w,quintile,cross_sectional,-0.0045453033386331975,0.430939226519337,-0.14309392265193369,362
amihud_illiquidity_30d,2w,decile,cross_sectional,-0.01299029333377065,0.36464088397790057,-0.1335342374016407,362
amihud_illiquidity_30d,4w,quintile,cross_sectional,-0.0065176455816382565,0.4,-0.15833333333333333,360
amihud_illiquidity_30d,4w,decile,cross_sectional,-0.015561727199687738,0.35833333333333334,-0.15259259259259256,360
turnover_30d,1w,quintile,cross_sectional,0.005225745711332761,0.5785123966942148,0.0997245179063361,363
turnover_30d,1w,decile,cross_sectional,0.007531119275019616,0.628099173553719,0.09214458635946239,363
turnover_30d,2w,quintile,cross_sectional,0.007785016679043618,0.585635359116022,0.09917127071823204,362
turnover_30d,2w,decile,cross_sectional,0.015097138063644171,0.6464088397790055,0.09660137284446677,362
turnover_30d,4w,quintile,cross_sectional,39.77825413691654,0.6138888888888889,0.09888888888888887,360
turnover_30d,4w,decile,cross_sectional,0.019715438651399672,0.6361111111111111,0.09676767676767677,360
volume_acceleration,1w,quintile,cross_sectional,0.008175337903350321,0.5426997245179064,0.07796143250688703,363
volume_acceleration,1w,decile,cross_sectional,0.01338211245875161,0.5619834710743802,0.05017113281576091,363
volume_acceleration,2w,quintile,cross_sectional,0.019138475891054118,0.574585635359116,0.09364640883977898,362
volume_acceleration,2w,decile,cross_sectional,0.02208239945186976,0.5386740331491713,0.05163234555499749,362
volume_acceleration,4w,quintile,cross_sectional,39.79044464609314,0.5666666666666667,0.08527777777777777,360
volume_acceleration,4w,decile,cross_sectional,79.57299503586437,0.5638888888888889,0.0817171717171717,360
volume_concentration_7_30,1w,quintile,cross_sectional,0.008175337903350321,0.5426997245179064,0.07796143250688703,363
volume_concentration_7_30,1w,decile,cross_sectional,0.01338211245875161,0.5619834710743802,0.05017113281576091,363
volume_concentration_7_30,2w,quintile,cross_sectional,0.019138475891054118,0.574585635359116,0.09364640883977898,362
volume_concentration_7_30,2w,decile,cross_sectional,0.02208239945186976,0.5386740331491713,0.05163234555499749,362
volume_concentration_7_30,4w,quintile,cross_sectional,39.79044464609314,0.5666666666666667,0.08527777777777777,360
volume_concentration_7_30,4w,decile,cross_sectional,79.57299503586437,0.5638888888888889,0.0817171717171717,360
relative_strength_rank,1w,quintile,cross_sectional,0.004608475624851824,0.559228650137741,0.07327823691460053,363
relative_strength_rank,1w,decile,cross_sectional,-0.0009861344008156685,0.5344352617079889,0.032874196510560144,363
relative_strength_rank,2w,quintile,cross_sectional,0.00870792958571466,0.5607734806629834,0.06850828729281767,362
relative_strength_rank,2w,decile,cross_sectional,0.0029926795845770762,0.5220994475138122,0.015770969362129586,362
