candidate,target,model,feature_set,refit_date,split,parameters,cpcv_brier,train_rows,max_train_label_end
drawdown_5__random_forest__price_derivatives,drawdown_5,random_forest,price_derivatives,2021-01-01,development,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.2620810716382953,1448,2020-12-31
drawdown_5__random_forest__price_derivatives,drawdown_5,random_forest,price_derivatives,2022-01-01,development,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.2565111549152465,2178,2021-12-31
drawdown_5__random_forest__price_derivatives,drawdown_5,random_forest,price_derivatives,2023-01-01,development,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.25982196982106764,2908,2022-12-31
drawdown_5__random_forest__price_derivatives,drawdown_5,random_forest,price_derivatives,2024-01-01,development,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.2454133577706921,3638,2023-12-31
drawdown_5__random_forest__price_derivatives,drawdown_5,random_forest,price_derivatives,2025-01-01,holdout,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.24187249409744208,4370,2024-12-31
drawdown_5__gradient_boosting__price_derivatives,drawdown_5,gradient_boosting,price_derivatives,2021-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.23875985420163257,1448,2020-12-31
drawdown_5__gradient_boosting__price_derivatives,drawdown_5,gradient_boosting,price_derivatives,2022-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.24317735256099948,2178,2021-12-31
drawdown_5__gradient_boosting__price_derivatives,drawdown_5,gradient_boosting,price_derivatives,2023-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.25473363177126385,2908,2022-12-31
drawdown_5__gradient_boosting__price_derivatives,drawdown_5,gradient_boosting,price_derivatives,2024-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.22760488906618576,3638,2023-12-31
drawdown_5__gradient_boosting__price_derivatives,drawdown_5,gradient_boosting,price_derivatives,2025-01-01,holdout,"{""n_estimators"": 75, ""max_depth"": 2}",0.22057092731694944,4370,2024-12-31
drawdown_5__boosted_tree__price_derivatives,drawdown_5,boosted_tree,price_derivatives,2021-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.2379242293536663,1448,2020-12-31
drawdown_5__boosted_tree__price_derivatives,drawdown_5,boosted_tree,price_derivatives,2022-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.24177177995443344,2178,2021-12-31
drawdown_5__boosted_tree__price_derivatives,drawdown_5,boosted_tree,price_derivatives,2023-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.2541794739663601,2908,2022-12-31
drawdown_5__boosted_tree__price_derivatives,drawdown_5,boosted_tree,price_derivatives,2024-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.22797925770282745,3638,2023-12-31
drawdown_5__boosted_tree__price_derivatives,drawdown_5,boosted_tree,price_derivatives,2025-01-01,holdout,"{""n_estimators"": 75, ""max_depth"": 2}",0.22054152563214302,4370,2024-12-31
drawdown_10__logistic__price_only,drawdown_10,logistic,price_only,2021-01-01,development,"{""C"": 0.1}",0.2623549844637603,1448,2020-12-31
drawdown_10__logistic__price_only,drawdown_10,logistic,price_only,2022-01-01,development,"{""C"": 0.1}",0.26474978880111394,2178,2021-12-31
drawdown_10__logistic__price_only,drawdown_10,logistic,price_only,2023-01-01,development,"{""C"": 0.1}",0.2504206481189151,2908,2022-12-31
drawdown_10__logistic__price_only,drawdown_10,logistic,price_only,2024-01-01,development,"{""C"": 0.1}",0.2591026060776854,3638,2023-12-31
drawdown_10__logistic__price_only,drawdown_10,logistic,price_only,2025-01-01,holdout,"{""C"": 0.1}",0.24660556212654758,4370,2024-12-31
