strategy,category,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month
btc_buy_hold,benchmark,holdout,100,-0.21821159706853388,-0.33192186171076005,-0.46807366395507555,-0.42653704055876956,0.44404818879221286,-0.5115888570490235,0.49070631970260226,0.0,1.0,0.0,0.0,0.0,-0.17650783621446742
eth_buy_hold,benchmark,development,10,0.4587159262615581,0.8718278184114425,1.2421150261849614,0.5784379136727242,0.8017106662517689,-0.7930253453633334,0.5154004106776181,0.0,1.0,0.0,0.0,0.0,-0.4484731448581286
eth_buy_hold,benchmark,holdout,10,-0.3510212516138813,-0.23851086051698195,-0.355579393263979,-0.5199146817004417,0.7232706923508007,-0.6751516430846409,0.49256505576208176,0.0,1.0,0.0,0.0,0.0,-0.32214578050827136
eth_buy_hold,benchmark,development,25,0.4587159262615581,0.8718278184114425,1.2421150261849614,0.5784379136727242,0.8017106662517689,-0.7930253453633334,0.5154004106776181,0.0,1.0,0.0,0.0,0.0,-0.4484731448581286
eth_buy_hold,benchmark,holdout,25,-0.3510212516138813,-0.23851086051698195,-0.355579393263979,-0.5199146817004417,0.7232706923508007,-0.6751516430846409,0.49256505576208176,0.0,1.0,0.0,0.0,0.0,-0.32214578050827136
eth_buy_hold,benchmark,development,50,0.4587159262615581,0.8718278184114425,1.2421150261849614,0.5784379136727242,0.8017106662517689,-0.7930253453633334,0.5154004106776181,0.0,1.0,0.0,0.0,0.0,-0.4484731448581286
eth_buy_hold,benchmark,holdout,50,-0.3510212516138813,-0.23851086051698195,-0.355579393263979,-0.5199146817004417,0.7232706923508007,-0.6751516430846409,0.49256505576208176,0.0,1.0,0.0,0.0,0.0,-0.32214578050827136
eth_buy_hold,benchmark,development,100,0.4587159262615581,0.8718278184114425,1.2421150261849614,0.5784379136727242,0.8017106662517689,-0.7930253453633334,0.5154004106776181,0.0,1.0,0.0,0.0,0.0,-0.4484731448581286
eth_buy_hold,benchmark,holdout,100,-0.3510212516138813,-0.23851086051698195,-0.355579393263979,-0.5199146817004417,0.7232706923508007,-0.6751516430846409,0.49256505576208176,0.0,1.0,0.0,0.0,0.0,-0.32214578050827136
btc_eth_50_50,benchmark,development,10,0.4363923922979489,0.8747159571593209,1.2179899240481826,0.5722901889397087,0.6772660162219732,-0.7625369100009562,0.5133470225872689,0.0,1.0,0.0,0.0,0.0,-0.4105176007687238
btc_eth_50_50,benchmark,holdout,10,-0.27206512833669316,-0.284780677797741,-0.409522389245089,-0.45948250290703135,0.5616554100620985,-0.5921120534849638,0.5037174721189591,0.0,1.0,0.0,0.0,0.0,-0.2510281674199146
btc_eth_50_50,benchmark,development,25,0.4363923922979489,0.8747159571593209,1.2179899240481826,0.5722901889397087,0.6772660162219732,-0.7625369100009562,0.5133470225872689,0.0,1.0,0.0,0.0,0.0,-0.4105176007687238
btc_eth_50_50,benchmark,holdout,25,-0.27206512833669316,-0.284780677797741,-0.409522389245089,-0.45948250290703135,0.5616554100620985,-0.5921120534849638,0.5037174721189591,0.0,1.0,0.0,0.0,0.0,-0.2510281674199146
btc_eth_50_50,benchmark,development,50,0.4363923922979489,0.8747159571593209,1.2179899240481826,0.5722901889397087,0.6772660162219732,-0.7625369100009562,0.5133470225872689,0.0,1.0,0.0,0.0,0.0,-0.4105176007687238
btc_eth_50_50,benchmark,holdout,50,-0.27206512833669316,-0.284780677797741,-0.409522389245089,-0.45948250290703135,0.5616554100620985,-0.5921120534849638,0.5037174721189591,0.0,1.0,0.0,0.0,0.0,-0.2510281674199146
btc_eth_50_50,benchmark,development,100,0.4363923922979489,0.8747159571593209,1.2179899240481826,0.5722901889397087,0.6772660162219732,-0.7625369100009562,0.5133470225872689,0.0,1.0,0.0,0.0,0.0,-0.4105176007687238
btc_eth_50_50,benchmark,holdout,100,-0.27206512833669316,-0.284780677797741,-0.409522389245089,-0.45948250290703135,0.5616554100620985,-0.5921120534849638,0.5037174721189591,0.0,1.0,0.0,0.0,0.0,-0.2510281674199146
