candidate,overlay_type,fold,test_groups,fold_sharpe
expansion_sizing_eth_tilt_e60_l50_7d,expansion_sizing_eth_tilt,8,"1,5",0.9963576963991975
expansion_sizing_eth_tilt_e60_l50_7d,expansion_sizing_eth_tilt,9,"2,3",0.04159234428073507
expansion_sizing_eth_tilt_e60_l50_7d,expansion_sizing_eth_tilt,10,"2,4",-0.8207664630658439
expansion_sizing_eth_tilt_e60_l50_7d,expansion_sizing_eth_tilt,11,"2,5",-0.9502765045558133
expansion_sizing_eth_tilt_e60_l50_7d,expansion_sizing_eth_tilt,12,"3,4",0.7932068465631125
expansion_sizing_eth_tilt_e60_l50_7d,expansion_sizing_eth_tilt,13,"3,5",0.6717317090188473
expansion_sizing_eth_tilt_e60_l50_7d,expansion_sizing_eth_tilt,14,"4,5",0.26420406209252867
expansion_sizing_eth_tilt_e60_l60_7d,expansion_sizing_eth_tilt,0,"0,1",0.9321488996336956
expansion_sizing_eth_tilt_e60_l60_7d,expansion_sizing_eth_tilt,1,"0,2",-0.13053340159190593
expansion_sizing_eth_tilt_e60_l60_7d,expansion_sizing_eth_tilt,2,"0,3",0.8163307037862277
expansion_sizing_eth_tilt_e60_l60_7d,expansion_sizing_eth_tilt,3,"0,4",0.5393449790558649
expansion_sizing_eth_tilt_e60_l60_7d,expansion_sizing_eth_tilt,4,"0,5",0.43958012139451413
expansion_sizing_eth_tilt_e60_l60_7d,expansion_sizing_eth_tilt,5,"1,2",-0.0010338466948341073
expansion_sizing_eth_tilt_e60_l60_7d,expansion_sizing_eth_tilt,6,"1,3",1.170573552442963
expansion_sizing_eth_tilt_e60_l60_7d,expansion_sizing_eth_tilt,7,"1,4",1.1975276152196708
expansion_sizing_eth_tilt_e60_l60_7d,expansion_sizing_eth_tilt,8,"1,5",0.9902478766380147
expansion_sizing_eth_tilt_e60_l60_7d,expansion_sizing_eth_tilt,9,"2,3",0.0323283603132815
expansion_sizing_eth_tilt_e60_l60_7d,expansion_sizing_eth_tilt,10,"2,4",-0.8107666149068596
expansion_sizing_eth_tilt_e60_l60_7d,expansion_sizing_eth_tilt,11,"2,5",-0.9224136141738526
expansion_sizing_eth_tilt_e60_l60_7d,expansion_sizing_eth_tilt,12,"3,4",0.7926629133030693
expansion_sizing_eth_tilt_e60_l60_7d,expansion_sizing_eth_tilt,13,"3,5",0.679169460775575
expansion_sizing_eth_tilt_e60_l60_7d,expansion_sizing_eth_tilt,14,"4,5",0.29529880052834273
eth_leadership_tilt_l40_7d,eth_leadership_tilt,0,"0,1",1.7174459853008401
eth_leadership_tilt_l40_7d,eth_leadership_tilt,1,"0,2",-0.10628426059547191
eth_leadership_tilt_l40_7d,eth_leadership_tilt,2,"0,3",1.2036854706143023
eth_leadership_tilt_l40_7d,eth_leadership_tilt,3,"0,4",1.0022701344328437
eth_leadership_tilt_l40_7d,eth_leadership_tilt,4,"0,5",0.8971670133505677
eth_leadership_tilt_l40_7d,eth_leadership_tilt,5,"1,2",0.260491510848364
eth_leadership_tilt_l40_7d,eth_leadership_tilt,6,"1,3",1.6463684841798094
eth_leadership_tilt_l40_7d,eth_leadership_tilt,7,"1,4",1.604961728730578
eth_leadership_tilt_l40_7d,eth_leadership_tilt,8,"1,5",1.4672678566188986
eth_leadership_tilt_l40_7d,eth_leadership_tilt,9,"2,3",-0.32317883566562566
eth_leadership_tilt_l40_7d,eth_leadership_tilt,10,"2,4",-1.154154588653781
eth_leadership_tilt_l40_7d,eth_leadership_tilt,11,"2,5",-1.2077549136462526
eth_leadership_tilt_l40_7d,eth_leadership_tilt,12,"3,4",0.8700196488256674
eth_leadership_tilt_l40_7d,eth_leadership_tilt,13,"3,5",0.7501308098573622
eth_leadership_tilt_l40_7d,eth_leadership_tilt,14,"4,5",0.3304655939215882
eth_leadership_tilt_l50_7d,eth_leadership_tilt,0,"0,1",1.6991396664889922
eth_leadership_tilt_l50_7d,eth_leadership_tilt,1,"0,2",-0.09111574045553217
eth_leadership_tilt_l50_7d,eth_leadership_tilt,2,"0,3",1.2190023794983966
eth_leadership_tilt_l50_7d,eth_leadership_tilt,3,"0,4",1.0107967894633372
eth_leadership_tilt_l50_7d,eth_leadership_tilt,4,"0,5",0.9251270202721096
eth_leadership_tilt_l50_7d,eth_leadership_tilt,5,"1,2",0.24643317214972651
eth_leadership_tilt_l50_7d,eth_leadership_tilt,6,"1,3",1.6409792108415995
eth_leadership_tilt_l50_7d,eth_leadership_tilt,7,"1,4",1.5869623619590798
eth_leadership_tilt_l50_7d,eth_leadership_tilt,8,"1,5",1.470101479817227
eth_leadership_tilt_l50_7d,eth_leadership_tilt,9,"2,3",-0.3013030975816046
eth_leadership_tilt_l50_7d,eth_leadership_tilt,10,"2,4",-1.1314768861748898
eth_leadership_tilt_l50_7d,eth_leadership_tilt,11,"2,5",-1.1612825059152607
eth_leadership_tilt_l50_7d,eth_leadership_tilt,12,"3,4",0.8970276133761713
eth_leadership_tilt_l50_7d,eth_leadership_tilt,13,"3,5",0.7975384083148259
eth_leadership_tilt_l50_7d,eth_leadership_tilt,14,"4,5",0.4333899355961491
eth_leadership_tilt_l60_7d,eth_leadership_tilt,0,"0,1",1.678260548880431
eth_leadership_tilt_l60_7d,eth_leadership_tilt,1,"0,2",-0.09935967181105715
eth_leadership_tilt_l60_7d,eth_leadership_tilt,2,"0,3",1.2107874177611861
eth_leadership_tilt_l60_7d,eth_leadership_tilt,3,"0,4",0.9965690504637369
eth_leadership_tilt_l60_7d,eth_leadership_tilt,4,"0,5",0.9282495607779256
eth_leadership_tilt_l60_7d,eth_leadership_tilt,5,"1,2",0.2252943876261206
eth_leadership_tilt_l60_7d,eth_leadership_tilt,6,"1,3",1.6381240917523305
eth_leadership_tilt_l60_7d,eth_leadership_tilt,7,"1,4",1.577771390281791
eth_leadership_tilt_l60_7d,eth_leadership_tilt,8,"1,5",1.476454506343936
eth_leadership_tilt_l60_7d,eth_leadership_tilt,9,"2,3",-0.31323077087466583
eth_leadership_tilt_l60_7d,eth_leadership_tilt,10,"2,4",-1.1246608351860885
eth_leadership_tilt_l60_7d,eth_leadership_tilt,11,"2,5",-1.1288742913684742
eth_leadership_tilt_l60_7d,eth_leadership_tilt,12,"3,4",0.9014096694597222
eth_leadership_tilt_l60_7d,eth_leadership_tilt,13,"3,5",0.8187204945490816
eth_leadership_tilt_l60_7d,eth_leadership_tilt,14,"4,5",0.4785355713408526
expansion_sizing_t40_14d,expansion_probability_sizing,0,"0,1",2.1825353175143896
expansion_sizing_t40_14d,expansion_probability_sizing,1,"0,2",0.09665473851335513
expansion_sizing_t40_14d,expansion_probability_sizing,2,"0,3",1.4267065165208672
expansion_sizing_t40_14d,expansion_probability_sizing,3,"0,4",1.5276742588429062
expansion_sizing_t40_14d,expansion_probability_sizing,4,"0,5",1.3251443458679006
expansion_sizing_t40_14d,expansion_probability_sizing,5,"1,2",0.2887316333557589
expansion_sizing_t40_14d,expansion_probability_sizing,6,"1,3",1.6164178753552312
expansion_sizing_t40_14d,expansion_probability_sizing,7,"1,4",1.7945564874456887
expansion_sizing_t40_14d,expansion_probability_sizing,8,"1,5",1.5827352683046474
expansion_sizing_t40_14d,expansion_probability_sizing,9,"2,3",-0.3833041071169823
expansion_sizing_t40_14d,expansion_probability_sizing,10,"2,4",-1.084644789960675
expansion_sizing_t40_14d,expansion_probability_sizing,11,"2,5",-1.2188784799314591
expansion_sizing_t40_14d,expansion_probability_sizing,12,"3,4",0.8012440788869178
expansion_sizing_t40_14d,expansion_probability_sizing,13,"3,5",0.633235105392507
expansion_sizing_t40_14d,expansion_probability_sizing,14,"4,5",0.4753900646335087
expansion_filter_t40_14d,expansion_threshold_filter,0,"0,1",1.6133250558062016
expansion_filter_t40_14d,expansion_threshold_filter,1,"0,2",0.3014656626351654
expansion_filter_t40_14d,expansion_threshold_filter,2,"0,3",0.7631489151778621
expansion_filter_t40_14d,expansion_threshold_filter,3,"0,4",0.9097850146278126
