name,family,benchmark_group,split,cost_bps,selected_development_candidate,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,expansion_threshold,leadership_threshold,rebalance_days
expansion_sizing_eth_tilt_e40_l40_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,development,50,False,0.15938752865305017,0.5582928675415271,0.5439968978714861,0.20683196035003512,0.5523524549950054,-0.7706136342918586,0.3344280240831965,0.033196496989600435,0.5268199233716475,0.30324999999999996,0.4731800766283525,12.11672140120416,-0.4231074342115926,0.490963612628184,1.2873563218390804,0.4,0.4,7
expansion_sizing_eth_tilt_e40_l40_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,holdout,50,False,0.28265827071777916,0.9424163814917397,1.222294993433585,1.3414027126927914,0.315188573645032,-0.2107184278391374,0.2342007434944238,0.03410780669144982,0.3187732342007435,0.09175,0.6812267657992566,12.449349442379184,-0.0913799320714701,0.30412236762947686,0.8847583643122676,0.4,0.4,7
expansion_sizing_eth_tilt_e40_l40_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,development,100,False,0.09111265805974411,0.44845555493173817,0.43860981668545734,0.11493589778798197,0.5525426684132848,-0.7927258568755976,0.3344280240831965,0.033196496989600435,0.5268199233716475,0.6064999999999999,0.4731800766283525,12.11672140120416,-0.4246596331223875,0.48918530029899854,1.2873563218390804,0.4,0.4,7
expansion_sizing_eth_tilt_e40_l40_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,holdout,100,False,0.20497045071716724,0.74301014379143,0.9700046600594611,0.9089653614518641,0.3160012414529109,-0.22549863769261114,0.23234200743494424,0.03410780669144982,0.3187732342007435,0.1835,0.6812267657992566,12.449349442379184,-0.10054449490311734,0.2949078325153458,0.8847583643122676,0.4,0.4,7
expansion_sizing_eth_tilt_e40_l50_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,development,10,False,0.22581400291701503,0.660257480542789,0.6380064003658896,0.30488307735414616,0.5466899608050275,-0.7406577133656846,0.33825944170771755,0.033880678708264916,0.5268199233716475,0.061900000000000004,0.4731800766283525,12.366447728516693,-0.42186418603621756,0.4618334847929042,1.2873563218390804,0.4,0.5,7
expansion_sizing_eth_tilt_e40_l50_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,holdout,10,False,0.26972765448752645,0.9658842739021292,1.1842274119345297,1.3404411930900684,0.28963047979650264,-0.20122304199390761,0.23234200743494424,0.03317843866171004,0.3187732342007435,0.017849999999999998,0.6812267657992566,12.110130111524166,-0.08653033017728429,0.24138495276029226,0.8847583643122676,0.4,0.5,7
expansion_sizing_eth_tilt_e40_l50_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,development,25,False,0.20332707687578666,0.6263981894641644,0.606417795368475,0.27159865128245414,0.5466274812500512,-0.7486306574635117,0.3371647509578544,0.033880678708264916,0.5268199233716475,0.15475,0.4731800766283525,12.366447728516693,-0.4223305592110188,0.45961492089649925,1.2873563218390804,0.4,0.5,7
expansion_sizing_eth_tilt_e40_l50_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,holdout,25,False,0.24685315399810648,0.9029256418366137,1.1111405285066205,1.2012472820387687,0.28970750014231883,-0.20549736735232804,0.23234200743494424,0.03317843866171004,0.3187732342007435,0.044625,0.6812267657992566,12.110130111524166,-0.08936155375702637,0.2394962251277417,0.8847583643122676,0.4,0.5,7
expansion_sizing_eth_tilt_e40_l50_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,development,50,False,0.16672243198434833,0.5698882938024783,0.5531290215053442,0.21896988198139195,0.5465814066239768,-0.7613943546743858,0.33607006020799124,0.033880678708264916,0.5268199233716475,0.3095,0.4731800766283525,12.366447728516693,-0.4231074342115926,0.45592219421078717,1.2873563218390804,0.4,0.5,7
expansion_sizing_eth_tilt_e40_l50_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,holdout,50,False,0.20959736121165884,0.7977460681834374,0.9857880622506475,0.9837859330714654,0.2899531748978615,-0.21305179731252877,0.22862453531598512,0.03317843866171004,0.3187732342007435,0.08925,0.6812267657992566,12.110130111524166,-0.09406610441375673,0.23635154076334208,0.8847583643122676,0.4,0.5,7
