feature,importance,abs_importance,target,model,model_config
credit_spread_change_21d,0.5303157488311264,0.5303157488311264,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
BTC_rv_percentile,0.4972916105366998,0.4972916105366998,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
ETH_rv_percentile,-1.826355727060152,1.826355727060152,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
ETH_below_200dma,1.5702667577112417,1.5702667577112417,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
eth_btc_relative_weakness_63d,-1.243998328703282,1.243998328703282,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
ETH_below_100dma,-1.189310575907771,1.189310575907771,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
stablecoin_supply_change_7d,-1.0522283677423716,1.0522283677423716,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
yield_curve_slope_change_21d,-1.0180080141414285,1.0180080141414285,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
BTC_below_200dma,0.827679784625546,0.827679784625546,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
usd_trend_21d,0.8010886574553958,0.8010886574553958,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
BTC_below_100dma,-0.7795852757126609,0.7795852757126609,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
BTC_rv_63d,0.7493523453267469,0.7493523453267469,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
volume_shock_4h_btc_eth_avg,0.7187262487111687,0.7187262487111687,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
credit_spread_level,-0.5820740637387375,0.5820740637387375,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
funding_sum_7d,0.4696998736626399,0.4696998736626399,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
funding_level,0.4695687757376017,0.4695687757376017,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
BTC_failed_breakout,0.4507834006358049,0.4507834006358049,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
ETH_drawdown_from_90d_high,0.4444380946516833,0.4444380946516833,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
rates_10y_change_21d,0.3387581985173985,0.3387581985173985,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
credit_spread_change_21d,0.3270437471110471,0.3270437471110471,target_b_60d_loss_gt_30,elastic_net_logistic,target_b_60d_loss_gt_30__elastic_net_logistic
