fee_scenario,capital_eur,leverage,volume_multiple,duration_months,total_cost_eur,breakeven_airdrop_eur,breakeven_as_multiple_of_capital
typical_pair (Pacifica+StandX),1000.0,1,10,3,139.04,139.04,0.139
typical_pair (Pacifica+StandX),1000.0,1,10,6,264.08,264.08,0.264
typical_pair (Pacifica+StandX),1000.0,1,10,12,514.16,514.16,0.514
typical_pair (Pacifica+StandX),1000.0,1,25,1,76.68,76.68,0.077
typical_pair (Pacifica+StandX),1000.0,1,25,3,202.04,202.04,0.202
typical_pair (Pacifica+StandX),1000.0,1,25,6,390.08,390.08,0.39
typical_pair (Pacifica+StandX),1000.0,1,25,12,766.16,766.16,0.766
typical_pair (Pacifica+StandX),1000.0,1,50,1,111.68,111.68,0.112
typical_pair (Pacifica+StandX),1000.0,1,50,3,307.04,307.04,0.307
typical_pair (Pacifica+StandX),1000.0,1,50,6,600.08,600.08,0.6
typical_pair (Pacifica+StandX),1000.0,1,50,12,1186.16,1186.16,1.186
typical_pair (Pacifica+StandX),1000.0,1,100,1,181.68,181.68,0.182
typical_pair (Pacifica+StandX),1000.0,1,100,3,517.04,517.04,0.517
typical_pair (Pacifica+StandX),1000.0,1,100,6,1020.08,1020.08,1.02
typical_pair (Pacifica+StandX),1000.0,1,100,12,2026.16,2026.16,2.026
typical_pair (Pacifica+StandX),1000.0,1,250,1,391.68,391.68,0.392
typical_pair (Pacifica+StandX),1000.0,1,250,3,1147.04,1147.04,1.147
typical_pair (Pacifica+StandX),1000.0,1,250,6,2280.08,2280.08,2.28
typical_pair (Pacifica+StandX),1000.0,1,250,12,4546.16,4546.16,4.546
typical_pair (Pacifica+StandX),1000.0,2,10,1,56.69,56.69,0.057
typical_pair (Pacifica+StandX),1000.0,2,10,3,142.07,142.07,0.142
typical_pair (Pacifica+StandX),1000.0,2,10,6,270.14,270.14,0.27
typical_pair (Pacifica+StandX),1000.0,2,10,12,526.28,526.28,0.526
typical_pair (Pacifica+StandX),1000.0,2,25,1,77.69,77.69,0.078
typical_pair (Pacifica+StandX),1000.0,2,25,3,205.07,205.07,0.205
typical_pair (Pacifica+StandX),1000.0,2,25,6,396.14,396.14,0.396
typical_pair (Pacifica+StandX),1000.0,2,25,12,778.28,778.28,0.778
typical_pair (Pacifica+StandX),1000.0,2,50,1,112.69,112.69,0.113
typical_pair (Pacifica+StandX),1000.0,2,50,3,310.07,310.07,0.31
typical_pair (Pacifica+StandX),1000.0,2,50,6,606.14,606.14,0.606
typical_pair (Pacifica+StandX),1000.0,2,50,12,1198.28,1198.28,1.198
typical_pair (Pacifica+StandX),1000.0,2,100,1,182.69,182.69,0.183
typical_pair (Pacifica+StandX),1000.0,2,100,3,520.07,520.07,0.52
typical_pair (Pacifica+StandX),1000.0,2,100,6,1026.14,1026.14,1.026
typical_pair (Pacifica+StandX),1000.0,2,100,12,2038.28,2038.28,2.038
typical_pair (Pacifica+StandX),1000.0,2,250,1,392.69,392.69,0.393
typical_pair (Pacifica+StandX),1000.0,2,250,3,1150.07,1150.07,1.15
typical_pair (Pacifica+StandX),1000.0,2,250,6,2286.14,2286.14,2.286
typical_pair (Pacifica+StandX),1000.0,2,250,12,4558.28,4558.28,4.558
typical_pair (Pacifica+StandX),1000.0,3,10,1,57.7,57.7,0.058
typical_pair (Pacifica+StandX),1000.0,3,10,3,145.1,145.1,0.145
typical_pair (Pacifica+StandX),1000.0,3,10,6,276.2,276.2,0.276
typical_pair (Pacifica+StandX),1000.0,3,10,12,538.4,538.4,0.538
typical_pair (Pacifica+StandX),1000.0,3,25,1,78.7,78.7,0.079
