date,forward_btc_7d,forward_eth_7d,forward_btc_eth_50_50_7d,target_btc_weight,target_eth_weight,target_exposure,target_cash_weight,macro_regime,selected_forward_return_7d
2022-12-16,0.008801042801519054,0.04555933597867745,0.027180189390098253,0.25,0.25,0.5,0.5,neutral,-0.048511074590682934
2022-12-23,-0.0101928062699288,-0.016393576996532766,-0.013293191633230783,0.5,0.5,1.0,0.0,risk_on,-0.013710780213913143
2022-12-30,0.020663580507096935,0.05762548021233527,0.0391445303597161,0.5,0.5,1.0,0.0,risk_on,0.02707121681969027
2023-01-06,0.17576671101108188,0.14345147107490108,0.15960909104299148,0.5,0.5,1.0,0.0,risk_on,0.1258679734493049
2023-01-13,0.1373406235119803,0.1428610804851158,0.14010085199854805,0.5,0.5,1.0,0.0,risk_on,0.1069113076432966
2023-01-20,0.017953246120717914,-0.036719484841907346,-0.009383119360594716,0.5,0.5,1.0,0.0,risk_on,0.06195761405440381
2023-01-27,0.015503923003047593,0.04124885767579278,0.028376390339420188,0.5,0.5,1.0,0.0,risk_on,0.023629230298491732
2023-02-03,-0.07710471622019566,-0.09044676348946812,-0.08377573985483189,0.0,0.0,0.0,1.0,risk_off,-0.014568302030281144
2023-02-10,0.13617360124928402,0.11949955718874339,0.1278365792190137,0.5,0.5,1.0,0.0,risk_on,0.0791677901303065
2023-02-17,-0.05635660116801122,-0.05081263615271536,-0.05358461866036329,0.25,0.25,0.5,0.5,neutral,0.025006850666236646
2023-02-24,-0.035839534463446454,-0.023852469212588545,-0.0298460018380175,0.0,0.0,0.0,1.0,risk_off,-0.015605451847044094
2023-03-03,-0.09857817318695172,-0.09112109337666063,-0.09484963328180618,0.25,0.25,0.5,0.5,neutral,-0.0449542910089753
2023-03-10,0.3595132474371847,0.2543605058747651,0.3069368766559749,0.25,0.25,0.5,0.5,neutral,0.09533961336805641
2023-03-17,0.002166078423427864,-0.022187819613585402,-0.010010870595078769,0.5,0.5,1.0,0.0,risk_on,0.06437217455859212
2023-03-24,0.03682059788442471,0.04112439056453865,0.03897249422448168,0.5,0.5,1.0,0.0,risk_on,-0.010060467238832138
2023-03-31,-0.01963895766644086,0.023167464535113647,0.0017642534343363936,0.5,0.5,1.0,0.0,risk_on,0.022019051549814428
2023-04-07,0.09175695980087673,0.12677333505032928,0.109265147425603,0.5,0.5,1.0,0.0,risk_on,0.07940895441012863
2023-04-14,-0.10516615884829883,-0.11962437916371027,-0.11239526900600455,0.25,0.25,0.5,0.5,neutral,-0.015464495593576544
2023-04-21,0.0751521118122691,0.022804227652830633,0.04897816973254987,0.0,0.0,0.0,1.0,risk_off,-0.02205224305431086
2023-04-28,0.0066154470740353855,0.054131807460839454,0.03037362726743742,0.0,0.0,0.0,1.0,risk_off,0.0
2023-05-05,-0.09186727540965944,-0.09323734510610537,-0.09255231025788241,0.0,0.0,0.0,1.0,risk_off,0.0
2023-05-12,0.003181562537203808,0.0026944037179450486,0.0029379831275744284,0.25,0.25,0.5,0.5,neutral,-0.0018771232053688136
2023-05-19,-0.006485800360562011,0.008536020128895538,0.0010251098841667639,0.25,0.25,0.5,0.5,neutral,-0.002364234267020593
2023-05-26,0.020095544358704087,0.04316141351030489,0.03162847893450449,0.0,0.0,0.0,1.0,risk_off,0.004014459655891756
2023-06-02,-0.02807295488424555,-0.0347777288270712,-0.03142534185565837,0.25,0.25,0.5,0.5,neutral,-0.015453233607338746
2023-06-09,-0.005015898218168391,-0.06653553361552289,-0.03577571591684564,0.25,0.25,0.5,0.5,neutral,-0.03304535196522718
2023-06-16,0.16486999430631988,0.10169856570736702,0.13328428000684345,0.0,0.0,0.0,1.0,risk_off,0.013683221641011878
2023-06-23,-0.007054759926356735,0.021747515362220637,0.007346377717931951,0.25,0.25,0.5,0.5,neutral,-0.008404109387329384
2023-06-30,-0.004177605670779738,-0.032516457319564096,-0.018347031495171917,0.0,0.0,0.0,1.0,risk_off,0.0099949035224971
2023-07-07,-0.0010772886204181154,0.03576869010267725,0.017345700741129566,0.0,0.0,0.0,1.0,risk_off,0.0
2023-07-14,-0.013535559007799125,-0.0237894964986608,-0.018662527753229963,0.0,0.0,0.0,1.0,risk_off,0.0
2023-07-21,-0.019650374627279033,-0.009271936269975134,-0.014461155448627083,0.0,0.0,0.0,1.0,risk_off,0.0
2023-07-28,-0.006827762984007002,-0.023455466094686295,-0.015141614539346648,0.0,0.0,0.0,1.0,risk_off,0.0
2023-08-04,0.010717871373865151,0.01016812094654762,0.010442996160206386,0.0,0.0,0.0,1.0,risk_off,0.0
2023-08-11,-0.11459343988978465,-0.10127972133878538,-0.10793658061428502,0.0,0.0,0.0,1.0,risk_off,0.0
