name,candidate,model,target,feature_set,category,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Average Holdings,Best Month,Worst Month
btc_buy_hold,btc_buy_hold,benchmark,benchmark,N/A,benchmark,development,10,0.7368482943495129,1.2039865908590912,1.7436580517672091,0.9615757075052781,0.6158804088299804,-0.7662925431645936,0.5115340253748558,0.0,1.0,0.0,1.0,0.46851243433267964,-0.3729069866897433
btc_buy_hold,btc_buy_hold,benchmark,benchmark,N/A,benchmark,holdout,10,-0.23207040401967116,-0.3715714306608157,-0.5234166942074572,-0.4536267763107921,0.44437542042784356,-0.5115888570490235,0.4897196261682243,0.0,1.0,0.0,1.0,0.1407872633813132,-0.17650783621446742
eth_buy_hold,eth_buy_hold,benchmark,benchmark,N/A,benchmark,development,10,0.9457646942652711,1.2302322112701136,1.7845510447932051,1.1926033635557487,0.8031508751649026,-0.7930253453633338,0.5230680507497116,0.0,1.0,0.0,1.0,0.7823388827028048,-0.4484731448581286
eth_buy_hold,eth_buy_hold,benchmark,benchmark,N/A,benchmark,holdout,10,-0.3660708354369645,-0.2693645435257421,-0.4015250324766409,-0.5422053536957352,0.7244175728706324,-0.6751516430846409,0.491588785046729,0.0,1.0,0.0,1.0,0.488004280880477,-0.32214578050827136
btc_eth_50_50,btc_eth_50_50,benchmark,benchmark,N/A,benchmark,development,10,0.8902039196118468,1.283233895518768,1.8087822929431414,1.1674240393304114,0.6739121515499512,-0.7625369100009562,0.52479815455594,0.0,1.0,0.0,2.0,0.5171626168136121,-0.4105176007687238
btc_eth_50_50,btc_eth_50_50,benchmark,benchmark,N/A,benchmark,holdout,10,-0.2868782229472797,-0.3203286616927339,-0.46034217814918627,-0.48449988690285084,0.5623124975041389,-0.5921120534849638,0.502803738317757,0.0,1.0,0.0,2.0,0.2709681421331145,-0.2510281674199146
equal_weight_top30,equal_weight_top30,benchmark,benchmark,N/A,benchmark,development,10,0.42506098966889705,0.8513802592011703,1.1118112311673087,0.46990257156145276,0.8541079240723142,-0.904572597371514,0.5507497116493656,0.007998250009943126,1.0,0.013868965517241379,29.991926182237602,0.6683595151466293,-0.38989784259866667
equal_weight_top30,equal_weight_top30,benchmark,benchmark,N/A,benchmark,holdout,10,-0.5505308433923737,-0.6491518289691088,-0.9446181203485295,-0.728512742562867,0.7699809758018428,-0.7556914398719191,0.4822429906542056,0.008722741433021809,1.0,0.004666666666666666,30.0,0.27125207498892423,-0.31105158578356484
random_forest__forward_rank,random_forest__forward_rank,random_forest,forward_rank,all_features,model,development,10,1.245841545493397,1.4471519975579346,1.95017713788048,1.557201646099702,0.7606554074247479,-0.8000515210177412,0.5478662053056517,0.10046136101499423,1.0,0.17420000000000002,5.2520184544405994,0.9494272990649137,-0.33795623932601826
random_forest__forward_rank,random_forest__forward_rank,random_forest,forward_rank,all_features,model,holdout,10,-0.19827010785824817,-0.1378673147146239,-0.19040893584509513,-0.3662556756330284,0.540896274497602,-0.541343441342069,0.5009345794392523,0.029906542056074768,1.0,0.016,5.007476635514019,0.2771517002944974,-0.26302595458906464
