refit_date,split,candidate,feature,importance
2020-04-01,development,gradient_boosting__risk_adjusted_rank,distance_ma_20,0.0868616311284453
2020-04-01,development,gradient_boosting__risk_adjusted_rank,distance_ma_100,0.0325983877563952
2020-04-01,development,gradient_boosting__risk_adjusted_rank,breakout_strength_20,0.0796391035058591
2020-04-01,development,gradient_boosting__risk_adjusted_rank,reversal_7,0.0363723846187327
2020-04-01,development,gradient_boosting__risk_adjusted_rank,asset_age_days,0.0221492955999009
2020-04-01,development,gradient_boosting__risk_adjusted_rank,recent_listing_flag,0.0
2020-04-01,development,gradient_boosting__risk_adjusted_rank,log_dollar_volume_30,0.0141070598164765
2020-04-01,development,gradient_boosting__risk_adjusted_rank,volume_growth_7_30,0.074945096924013
2020-04-01,development,gradient_boosting__risk_adjusted_rank,amihud_illiquidity_30,0.0065061425272341
2020-04-01,development,gradient_boosting__risk_adjusted_rank,market_btc_trend_30,0.0556194160939135
2020-04-01,development,gradient_boosting__risk_adjusted_rank,market_eth_trend_30,0.0
2020-04-01,development,gradient_boosting__risk_adjusted_rank,market_breadth_30,0.0003811476996411
2020-04-01,development,gradient_boosting__risk_adjusted_rank,market_dispersion_7,0.0121447524067192
2020-04-01,development,gradient_boosting__risk_adjusted_rank,market_average_correlation_30,0.0133472036851095
2020-04-01,development,gradient_boosting__risk_adjusted_rank,market_realized_volatility_30,0.0
2020-04-01,development,gradient_boosting__risk_adjusted_rank,market_drawdown,0.0087221113443014
2020-04-01,development,gradient_boosting__risk_adjusted_rank,market_volatility_expansion_probability,0.0
2020-04-01,development,gradient_boosting__risk_adjusted_rank,funding_rate,0.0
2020-04-01,development,gradient_boosting__risk_adjusted_rank,funding_rate_abs,0.0119640148419992
2020-04-01,development,gradient_boosting__risk_adjusted_rank,funding_rate_change_7,0.0076569864980231
2020-04-01,development,gradient_boosting__risk_adjusted_rank,funding_coverage_flag,0.0
2020-04-01,development,boosted_tree__risk_adjusted_rank,momentum_7,0.0219639874994754
2020-04-01,development,boosted_tree__risk_adjusted_rank,momentum_14,0.0271219722926616
2020-04-01,development,boosted_tree__risk_adjusted_rank,momentum_30,0.0351118370890617
2020-04-01,development,boosted_tree__risk_adjusted_rank,momentum_90,0.0308091323822736
2020-04-01,development,boosted_tree__risk_adjusted_rank,momentum_30_ex_7,0.0317746400833129
2020-04-01,development,boosted_tree__risk_adjusted_rank,momentum_90_ex_7,0.0353068895637989
2020-04-01,development,boosted_tree__risk_adjusted_rank,realized_volatility_30,0.0360398888587951
2020-04-01,development,boosted_tree__risk_adjusted_rank,downside_volatility_30,0.0358025804162025
2020-04-01,development,boosted_tree__risk_adjusted_rank,max_drawdown_90,0.0302958656102418
