strategy,family,group,split,start,end,cost_bps,basis,dataset,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,Allocation Changes,drawdown_start,drawdown_trough,drawdown_recovery,drawdown_depth
btc_eth_50_50_macro_gate,50/50 BTC/ETH macro gate,asset_level_macro_decomposition,holdout,2025-01-01,2026-06-22,100,net_after_costs,top10,0.15847516496273428,0.6805756374853622,0.8712961436852513,0.7825043815075569,0.26715466399550514,-0.20252303847477415,0.22676579925650558,0.027881040892193308,0.2894981412639405,0.15000000000000002,0.7105018587360594,10.176579925650557,-0.07055615970418216,0.23506660530718304,0.8847583643122676,30,2025-01-23,2025-04-08,2025-05-08,-0.20252303847477415
btc_eth_macro_gate_balanced,BTC/ETH/cash macro risk gate,frozen_selected_strategy,full_sample,2019-01-04,2026-06-22,0,gross_0bps,top10,0.22002353230343896,0.6868275228942697,0.5993435103682677,0.30059874847284396,0.4327591706665789,-0.7319509260143039,0.28492849284928495,0.028052805280528052,0.40364869820315363,0.0,0.5963513017968464,10.23927392739274,-0.4315296683649067,0.44949275810729517,1.0832416574990833,148,2021-11-08,2022-11-21,,-0.7319509260143039
btc_eth_macro_gate_balanced,BTC/ETH/cash macro risk gate,frozen_selected_strategy,development,2019-07-05,2024-12-31,0,gross_0bps,top10,0.22559509379747444,0.675520040133422,0.6177414558901854,0.30821068159023796,0.4853188314614098,-0.7319509260143039,0.32536123567513703,0.030642750373692077,0.47085201793721976,0.0,0.5291479820627802,11.184603886397607,-0.4315296683649067,0.44949275810729517,1.234678624813154,118,2021-11-08,2022-11-21,,-0.7319509260143039
btc_eth_macro_gate_balanced,BTC/ETH/cash macro risk gate,frozen_selected_strategy,holdout,2025-01-01,2026-06-22,0,gross_0bps,top10,0.28293248521147074,1.0661186418952293,1.3568630970705124,1.585563450307555,0.26599737015038805,-0.17844286531490727,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.0,0.7105018587360594,10.176579925650557,-0.05667645626887219,0.24768001831585984,0.8847583643122676,30,2025-01-25,2025-04-08,2025-05-08,-0.17844286531490727
btc_eth_macro_gate_balanced,BTC/ETH/cash macro risk gate,frozen_selected_strategy,full_sample,2019-01-04,2026-06-22,10,net_after_costs,top10,0.20762118124630935,0.6632363415257949,0.587894211503304,0.2822631137665521,0.43271397735998496,-0.7355590267385205,0.2841950861752842,0.028052805280528052,0.40364869820315363,0.07650000000000001,0.5963513017968464,10.23927392739274,-0.4320897947253527,0.44949275810729517,1.0832416574990833,148,2021-11-08,2022-11-21,,-0.7355590267385205
btc_eth_macro_gate_balanced,BTC/ETH/cash macro risk gate,frozen_selected_strategy,development,2019-07-05,2024-12-31,10,net_after_costs,top10,0.21200039682524863,0.6525514726848459,0.6056263279988383,0.2882167020167797,0.48526132554274615,-0.7355590267385205,0.3243647234678625,0.030642750373692077,0.47085201793721976,0.0615,0.5291479820627802,11.184603886397607,-0.4320897947253527,0.44949275810729517,1.234678624813154,118,2021-11-08,2022-11-21,,-0.7355590267385205
btc_eth_macro_gate_balanced,BTC/ETH/cash macro risk gate,frozen_selected_strategy,holdout,2025-01-01,2026-06-22,10,net_after_costs,top10,0.2699382168428921,1.027743623907195,1.3040997384988156,1.4956833759602872,0.2660276052575855,-0.1804781822018856,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.015,0.7105018587360594,10.176579925650557,-0.057686720710772965,0.246415793598165,0.8847583643122676,30,2025-01-23,2025-04-08,2025-05-08,-0.1804781822018856
btc_eth_macro_gate_balanced,BTC/ETH/cash macro risk gate,frozen_selected_strategy,full_sample,2019-01-04,2026-06-22,25,net_after_costs,top10,0.18924126211967796,0.6278070995687354,0.5575240741085854,0.2554262876159642,0.4326690866777675,-0.7408840487248671,0.2834616795012835,0.028052805280528052,0.40364869820315363,0.19125,0.5963513017968464,10.23927392739274,-0.4329294666098096,0.44949275810729517,1.0832416574990833,148,2021-11-08,2022-11-21,,-0.7408840487248671
btc_eth_macro_gate_balanced,BTC/ETH/cash macro risk gate,frozen_selected_strategy,development,2019-07-05,2024-12-31,25,net_after_costs,top10,0.1918769115264498,0.6180598853907883,0.5747037963256828,0.2589837260725055,0.48519746043817996,-0.7408840487248671,0.32336821126058796,0.030642750373692077,0.47085201793721976,0.15375,0.5291479820627802,11.184603886397607,-0.4329294666098096,0.44949275810729517,1.234678624813154,118,2021-11-08,2022-11-21,,-0.7408840487248671
btc_eth_macro_gate_balanced,BTC/ETH/cash macro risk gate,frozen_selected_strategy,holdout,2025-01-01,2026-06-22,25,net_after_costs,top10,0.2506806098543801,0.9700672636549106,1.2341802107524358,1.3610143521675673,0.26610866572870884,-0.1841866027754544,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.037500000000000006,0.7105018587360594,10.176579925650557,-0.05983982286898448,0.2445206579453003,0.8847583643122676,30,2025-01-23,2025-04-08,2025-05-08,-0.1841866027754544
