candidate,family,portfolio,mechanism,rebalance_days,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,Allocation Changes,worst_drawdown_start,worst_drawdown_trough,worst_drawdown_recovery
btc_macro_trend_dd_20_reduce_50_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,holdout,25,0.03731209263226387,0.4075119840821547,0.3270363272150606,0.4367451003386772,0.1027377971037405,-0.08543219512555478,0.1171003717472119,0.010223048327137546,0.1366171003717472,0.01375,0.8633828996282528,3.7314126394052045,-0.04648433917807293,0.05647125085598015,0.2342007434944238,11,2025-01-23,2025-05-04,2025-05-21
btc_macro_trend_dd_20_reduce_50_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,development,50,0.13840633767961608,0.71902973594264,0.5382420874851012,0.3727339797589737,0.21139555314043804,-0.37132739485977573,0.16442451420029897,0.01096163428001993,0.17090184354758345,0.11000000000000001,0.8290981564524166,4.000996512207275,-0.16598042758811027,0.46851243433267964,0.31390134529147984,44,2019-07-09,2020-05-11,2020-11-30
btc_macro_trend_dd_20_reduce_50_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,holdout,50,0.027655624856276484,0.3159700770426814,0.25606900902448315,0.30529301453427665,0.10297921956409439,-0.09058715247207683,0.11524163568773234,0.010223048327137546,0.1366171003717472,0.0275,0.8633828996282528,3.7314126394052045,-0.048286554664870085,0.05249670691509922,0.2342007434944238,11,2025-01-23,2025-05-04,2025-05-21
btc_macro_trend_dd_20_reduce_50_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,development,100,0.11571357700412532,0.6225679211865535,0.46770094689485425,0.3015136964877475,0.2120165554650039,-0.38377552446884455,0.1639262580966617,0.01096163428001993,0.17090184354758345,0.22000000000000003,0.8290981564524166,4.000996512207275,-0.17221431557298184,0.46851243433267964,0.31390134529147984,44,2019-07-09,2020-05-11,2020-12-16
btc_macro_trend_dd_20_reduce_50_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,holdout,100,0.00857113498306461,0.1336825486076184,0.11024085118464194,0.08500193393504865,0.10383770272947204,-0.10083458794730427,0.11524163568773234,0.010223048327137546,0.1366171003717472,0.055,0.8633828996282528,3.7314126394052045,-0.05188645702369077,0.044575072279497974,0.2342007434944238,11,2025-01-23,2025-05-04,2025-06-09
btc_macro_trend_dd_20_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,development,0,-0.04135245542458099,-0.5534983207182625,-0.09447825205425629,-0.15833675723472887,0.07154281170453147,-0.26116775502277956,0.008470353761833582,0.0014947683109118087,0.012207274539113104,0.0,0.9877927254608869,0.5455904334828101,-0.1597231551545656,0.0,0.02092675635276532,5,2019-07-09,2019-09-26,
btc_macro_trend_dd_20_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,holdout,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,,
btc_macro_trend_dd_20_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,development,10,-0.04187424438399445,-0.561258699631367,-0.0971859278451778,-0.15932111307689115,0.07152569144633406,-0.26282922316633084,0.008470353761833582,0.0014947683109118087,0.012207274539113104,0.003,0.9877927254608869,0.5455904334828101,-0.16097648039716805,0.0,0.02092675635276532,5,2019-07-09,2019-09-26,
btc_macro_trend_dd_20_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,holdout,10,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,,
btc_macro_trend_dd_20_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,development,25,-0.04265700474491807,-0.5728347963232019,-0.09947120320838476,-0.16077796711540276,0.0715089280269843,-0.26531623399803184,0.008470353761833582,0.0014947683109118087,0.012207274539113104,0.0075,0.9877927254608869,0.5455904334828101,-0.16285471442742183,0.0,0.02092675635276532,5,2019-07-09,2019-09-26,
btc_macro_trend_dd_20_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,holdout,25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,,
btc_macro_trend_dd_20_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,development,50,-0.04396181084386119,-0.5919433136565868,-0.10327384427906154,-0.16315542601970864,0.07150478319261964,-0.2694474337528361,0.008470353761833582,0.0014947683109118087,0.012207274539113104,0.015,0.9877927254608869,0.5455904334828101,-0.16598042758811027,0.0,0.02092675635276532,5,2019-07-09,2019-09-26,
btc_macro_trend_dd_20_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,holdout,50,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,,
btc_macro_trend_dd_20_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,development,100,-0.04657219618513353,-0.6293817685307354,-0.11153692386575306,-0.1677321201614113,0.07158569365288013,-0.277658185804343,0.007972097658196313,0.0014947683109118087,0.012207274539113104,0.03,0.9877927254608869,0.5455904334828101,-0.17221431557298184,0.0,0.02092675635276532,5,2019-07-09,2019-09-26,
btc_macro_trend_dd_20_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,holdout,100,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,,
btc_macro_trend_dd_25_reduce_50_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,development,0,0.1922399278654725,0.8639448911096823,0.6770652818576331,0.5359891439733071,0.2356214186569803,-0.3586638461376118,0.1669157947184853,0.01195814648729447,0.19880418535127056,0.0,0.8011958146487295,4.364723467862481,-0.1597231551545656,0.46851243433267964,0.3208769307424016,45,2019-07-09,2020-05-11,2020-11-17
